SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
ἄλλο,urn:cite:fuSyntax:0085003tokens.2897017_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:260.2,urn:cite:fuSyntax:0085003sentences.2897017,1635,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897017_4,ἄλλοσ
οὐδέν,urn:cite:fuSyntax:0085003tokens.2897017_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:260.4,urn:cite:fuSyntax:0085003sentences.2897017,1637,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897017_0,οὐδείσ
κείνῳ,urn:cite:fuSyntax:0085003tokens.2897017_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:260.8,urn:cite:fuSyntax:0085003sentences.2897017,1641,a-s---md-,urn:cite:fuSyntax:0085003tokens.2897017_9,ἐκεῖνοσ
τίς,urn:cite:fuSyntax:0085003tokens.2897019_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:261.5,urn:cite:fuSyntax:0085003sentences.2897019,1648,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2897019_2,τίς
ταῦτα,urn:cite:fuSyntax:0085003tokens.2897022_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:263.8,urn:cite:fuSyntax:0085003sentences.2897022,1670,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897022_4,οὗτοσ
ἐλαφρὸν,urn:cite:fuSyntax:0085003tokens.2897023_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:265.1,urn:cite:fuSyntax:0085003sentences.2897023,1680,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897023_0,ἐλαφρόσ
ταῦθ᾽,urn:cite:fuSyntax:0085003tokens.2897024_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:267.5,urn:cite:fuSyntax:0085003sentences.2897024,1695,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897024_5,οὗτοσ
ἅπαντ᾽,urn:cite:fuSyntax:0085003tokens.2897024_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:267.6,urn:cite:fuSyntax:0085003sentences.2897024,1696,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897024_3,ἅπασ
ἑκὼν,urn:cite:fuSyntax:0085003tokens.2897025_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:268.1,urn:cite:fuSyntax:0085003sentences.2897025,1699,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897025_2,ἑκών1
ἑκὼν,urn:cite:fuSyntax:0085003tokens.2897025_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:268.2,urn:cite:fuSyntax:0085003sentences.2897025,1700,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897025_3,ἑκών1
θνητοῖς,urn:cite:fuSyntax:0085003tokens.2897026_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:269.1,urn:cite:fuSyntax:0085003sentences.2897026,1706,a-p---md-,urn:cite:fuSyntax:0085003tokens.2897026_2,θνητόσ
αὐτὸς,urn:cite:fuSyntax:0085003tokens.2897026_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:269.3,urn:cite:fuSyntax:0085003sentences.2897026,1708,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897026_4,αὐτόσ
τοίαισί,urn:cite:fuSyntax:0085003tokens.2897027_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:270.7,urn:cite:fuSyntax:0085003sentences.2897027,1718,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897027_4,τοῖοσ
πεδαρσίοις,urn:cite:fuSyntax:0085003tokens.2897027_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:271.4,urn:cite:fuSyntax:0085003sentences.2897027,1723,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897027_11,μετάρσιοσ
ἐρήμου,urn:cite:fuSyntax:0085003tokens.2897027_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:272.2,urn:cite:fuSyntax:0085003sentences.2897027,1726,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2897027_18,ἐρῆμοσ
ἀγείτονος,urn:cite:fuSyntax:0085003tokens.2897027_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:272.4,urn:cite:fuSyntax:0085003sentences.2897027,1728,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2897027_18,ἀγείτων
πᾶν,urn:cite:fuSyntax:0085003tokens.2897028_23,urn:cts:greekLit:tlg0085.tlg003.fuSyn:275.8,urn:cite:fuSyntax:0085003sentences.2897028,1753,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897028_19,πᾶσ
ταὐτά,urn:cite:fuSyntax:0085003tokens.2897030_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:277.5,urn:cite:fuSyntax:0085003sentences.2897030,1764,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897030_3,ταὐτόσ
ἄλλον,urn:cite:fuSyntax:0085003tokens.2897030_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:278.3,urn:cite:fuSyntax:0085003sentences.2897030,1769,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897030_4,ἄλλοσ
ἀκούσαις,urn:cite:fuSyntax:0085003tokens.2897031_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:279.2,urn:cite:fuSyntax:0085003sentences.2897031,1774,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897031_3,ἀέκων1
τοῦτο,urn:cite:fuSyntax:0085003tokens.2897031_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:280.1,urn:cite:fuSyntax:0085003sentences.2897031,1776,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897031_3,οὗτοσ
ἐλαφρῷ,urn:cite:fuSyntax:0085003tokens.2897032_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:281.3,urn:cite:fuSyntax:0085003sentences.2897032,1782,a-s---md-,urn:cite:fuSyntax:0085003tokens.2897032_4,ἐλαφρόσ
κραιπνόσυτον,urn:cite:fuSyntax:0085003tokens.2897032_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:281.5,urn:cite:fuSyntax:0085003sentences.2897032,1784,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897032_6,κραιπνόσυτοσ
ἁγνὸν,urn:cite:fuSyntax:0085003tokens.2897032_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:282.6,urn:cite:fuSyntax:0085003sentences.2897032,1790,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897032_9,ἁγνόσ
ὀκριοέσσῃ,urn:cite:fuSyntax:0085003tokens.2897032_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:283.4,urn:cite:fuSyntax:0085003sentences.2897032,1794,a-s---fd-,urn:cite:fuSyntax:0085003tokens.2897032_16,ὀκριόεισ
σοὺς,urn:cite:fuSyntax:0085003tokens.2897032_21,urn:cts:greekLit:tlg0085.tlg003.fuSyn:284.6,urn:cite:fuSyntax:0085003sentences.2897032,1800,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2897032_23,σόσ
παντὸς,urn:cite:fuSyntax:0085003tokens.2897032_26,urn:cts:greekLit:tlg0085.tlg003.fuSyn:285.3,urn:cite:fuSyntax:0085003sentences.2897032,1805,a-s---ng-,urn:cite:fuSyntax:0085003tokens.2897032_25,πᾶσ
δολιχῆς,urn:cite:fuSyntax:0085003tokens.2897033_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:286.2,urn:cite:fuSyntax:0085003sentences.2897033,1809,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897033_4,δολιχόσ
πτερυγωκῆ,urn:cite:fuSyntax:0085003tokens.2897033_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:288.2,urn:cite:fuSyntax:0085003sentences.2897033,1819,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897033_14,πτερυγωκήσ
σαῖς,urn:cite:fuSyntax:0085003tokens.2897034_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:290.2,urn:cite:fuSyntax:0085003sentences.2897034,1828,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897034_4,σόσ
συγγενὲς,urn:cite:fuSyntax:0085003tokens.2897035_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:291.8,urn:cite:fuSyntax:0085003sentences.2897035,1843,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897035_10,συγγενήσ
μείζονα,urn:cite:fuSyntax:0085003tokens.2897035_18,urn:cts:greekLit:tlg0085.tlg003.fuSyn:294.1,urn:cite:fuSyntax:0085003sentences.2897035,1853,a-s---fac,urn:cite:fuSyntax:0085003tokens.2897035_19,μέγασ
ἔτυμ᾽,urn:cite:fuSyntax:0085003tokens.2897036_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:295.5,urn:cite:fuSyntax:0085003sentences.2897036,1863,a-p---nn-,urn:cite:fuSyntax:0085003tokens.2897036_4,ἔτυμοσ
φίλος,urn:cite:fuSyntax:0085003tokens.2897038_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:299.1,urn:cite:fuSyntax:0085003sentences.2897038,1887,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897038_8,φίλοσ
βεβαιότερός,urn:cite:fuSyntax:0085003tokens.2897038_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:299.3,urn:cite:fuSyntax:0085003sentences.2897038,1889,a-s---mnc,urn:cite:fuSyntax:0085003tokens.2897038_7,βέβαιοσ
ἐμῶν,urn:cite:fuSyntax:0085003tokens.2897041_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:300.11,urn:cite:fuSyntax:0085003sentences.2897041,1902,a-p---mg-,urn:cite:fuSyntax:0085003tokens.2897041_4,ἐμόσ
ἐπώνυμόν,urn:cite:fuSyntax:0085003tokens.2897042_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:302.1,urn:cite:fuSyntax:0085003sentences.2897042,1910,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897042_7,ἐπώνυμοσ
πετρηρεφῆ,urn:cite:fuSyntax:0085003tokens.2897042_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:302.5,urn:cite:fuSyntax:0085003sentences.2897042,1914,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897042_11,πετρηρεφήσ
αὐτόκτιτ᾽,urn:cite:fuSyntax:0085003tokens.2897042_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:303.1,urn:cite:fuSyntax:0085003sentences.2897042,1915,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897042_11,αὐτόκτιτοσ
ἐμὰς,urn:cite:fuSyntax:0085003tokens.2897043_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:305.1,urn:cite:fuSyntax:0085003sentences.2897043,1927,a-p---fa-,urn:cite:fuSyntax:0085003tokens.2897043_3,ἐμόσ
κακοῖς,urn:cite:fuSyntax:0085003tokens.2897043_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:305.5,urn:cite:fuSyntax:0085003sentences.2897043,1931,a-p---nd-,urn:cite:fuSyntax:0085003tokens.2897043_7,κακόσ
φίλον,urn:cite:fuSyntax:0085003tokens.2897044_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:306.7,urn:cite:fuSyntax:0085003sentences.2897044,1939,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897044_13,φίλοσ
οἵαις,urn:cite:fuSyntax:0085003tokens.2897044_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:308.1,urn:cite:fuSyntax:0085003sentences.2897044,1946,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897044_17,οἷοσ
αὐτοῦ,urn:cite:fuSyntax:0085003tokens.2897044_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:308.3,urn:cite:fuSyntax:0085003sentences.2897044,1948,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2897044_15,αὐτόσ
λῷστα,urn:cite:fuSyntax:0085003tokens.2897045_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:310.3,urn:cite:fuSyntax:0085003sentences.2897045,1962,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897045_6,λωίων1
ποικίλῳ,urn:cite:fuSyntax:0085003tokens.2897045_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:310.7,urn:cite:fuSyntax:0085003sentences.2897045,1966,a-s---md-,urn:cite:fuSyntax:0085003tokens.2897045_14,ποικίλοσ
νέους,urn:cite:fuSyntax:0085003tokens.2897046_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:312.1,urn:cite:fuSyntax:0085003sentences.2897046,1973,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2897046_5,νέοσ
νέος,urn:cite:fuSyntax:0085003tokens.2897047_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:312.3,urn:cite:fuSyntax:0085003sentences.2897047,1975,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897047_0,νέοσ
τραχεῖς,urn:cite:fuSyntax:0085003tokens.2897048_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:313.4,urn:cite:fuSyntax:0085003sentences.2897048,1985,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2897048_5,τραχύς
ταλαίπωρ᾽,urn:cite:fuSyntax:0085003tokens.2897049_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:317.4,urn:cite:fuSyntax:0085003sentences.2897049,2015,a-s---mv-,urn:cite:fuSyntax:0085003tokens.2897049_12,ταλαίπωροσ
ἀρχαῖ᾽,urn:cite:fuSyntax:0085003tokens.2897050_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:319.1,urn:cite:fuSyntax:0085003sentences.2897050,2028,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897050_5,ἀρχαῖοσ
τοιαῦτα,urn:cite:fuSyntax:0085003tokens.2897051_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:320.1,urn:cite:fuSyntax:0085003sentences.2897051,2035,a-p---nn-,urn:cite:fuSyntax:0085003tokens.2897051_11,τοιοῦτοσ
ὑψηγόρου,urn:cite:fuSyntax:0085003tokens.2897051_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:320.5,urn:cite:fuSyntax:0085003sentences.2897051,2039,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897051_6,ὑψήγοροσ
ταπεινὸς,urn:cite:fuSyntax:0085003tokens.2897052_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:322.4,urn:cite:fuSyntax:0085003sentences.2897052,2050,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897052_13,ταπεινόσ
κακοῖς,urn:cite:fuSyntax:0085003tokens.2897052_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:322.8,urn:cite:fuSyntax:0085003sentences.2897052,2054,a-p---nd-,urn:cite:fuSyntax:0085003tokens.2897052_7,κακόσ
ἄλλα,urn:cite:fuSyntax:0085003tokens.2897052_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:323.5,urn:cite:fuSyntax:0085003sentences.2897052,2060,a-p---na-,urn:cite:fuSyntax:0085003tokens.2897052_15,ἄλλοσ
τραχὺς,urn:cite:fuSyntax:0085003tokens.2897053_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:326.1,urn:cite:fuSyntax:0085003sentences.2897053,2075,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897053_15,τραχύσ
ὑπεύθυνος,urn:cite:fuSyntax:0085003tokens.2897053_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:326.5,urn:cite:fuSyntax:0085003sentences.2897053,2079,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897053_15,ὑπεύθυνοσ
ματαίᾳ,urn:cite:fuSyntax:0085003tokens.2897056_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:331.2,urn:cite:fuSyntax:0085003sentences.2897056,2112,a-s---fd-,urn:cite:fuSyntax:0085003tokens.2897056_8,μάταιοσ
τούτων,urn:cite:fuSyntax:0085003tokens.2897057_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:333.1,urn:cite:fuSyntax:0085003sentences.2897057,2122,a-p---ng-,urn:cite:fuSyntax:0085003tokens.2897057_8,οὗτοσ
εὐπιθής,urn:cite:fuSyntax:0085003tokens.2897060_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:335.9,urn:cite:fuSyntax:0085003sentences.2897060,2144,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897060_0,εὐπιθήσ
αὐτὸς,urn:cite:fuSyntax:0085003tokens.2897061_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:336.3,urn:cite:fuSyntax:0085003sentences.2897061,2148,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897061_1,αὐτόσ
πολλῷ,urn:cite:fuSyntax:0085003tokens.2897062_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:337.1,urn:cite:fuSyntax:0085003sentences.2897062,2154,a-s---nd-,urn:cite:fuSyntax:0085003tokens.2897062_3,πολύσ
ἀμείνων,urn:cite:fuSyntax:0085003tokens.2897062_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:337.3,urn:cite:fuSyntax:0085003sentences.2897062,2156,a-s---mnc,urn:cite:fuSyntax:0085003tokens.2897062_7,ἀμείνων1
οὐδὲν,urn:cite:fuSyntax:0085003tokens.2897067_3,343b-3,urn:cite:fuSyntax:0085003sentences.2897067,2199,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897067_4,οὐδείσ
οὐδὲν,urn:cite:fuSyntax:0085003tokens.2897069_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:344.6,urn:cite:fuSyntax:0085003sentences.2897069,2208,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897069_4,οὐδείσ
πλείστοισι,urn:cite:fuSyntax:0085003tokens.2897071_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:348.4,urn:cite:fuSyntax:0085003sentences.2897071,2237,a-p---md-,urn:cite:fuSyntax:0085003tokens.2897071_15,πλεῖστοσ
ἑσπέρους,urn:cite:fuSyntax:0085003tokens.2897072_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:350.6,urn:cite:fuSyntax:0085003sentences.2897072,2253,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2897072_14,ἕσπεροσ
εὐάγκαλον,urn:cite:fuSyntax:0085003tokens.2897072_26,urn:cts:greekLit:tlg0085.tlg003.fuSyn:352.6,urn:cite:fuSyntax:0085003sentences.2897072,2266,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897072_24,εὐάγκαλοσ
γηγενῆ,urn:cite:fuSyntax:0085003tokens.2897073_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:353.2,urn:cite:fuSyntax:0085003sentences.2897073,2269,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897073_5,γηγενήσ
Κιλικίων,urn:cite:fuSyntax:0085003tokens.2897073_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:353.4,urn:cite:fuSyntax:0085003sentences.2897073,2271,a-p---mg-,urn:cite:fuSyntax:0085003tokens.2897073_6,Κιλίκιοσ
δάιον,urn:cite:fuSyntax:0085003tokens.2897073_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:354.5,urn:cite:fuSyntax:0085003sentences.2897073,2277,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897073_11,δάιοσ
ἑκατογκάρανον,urn:cite:fuSyntax:0085003tokens.2897073_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:355.1,urn:cite:fuSyntax:0085003sentences.2897073,2279,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897073_11,ἑκατογκάρηνοσ
πᾶσιν,urn:cite:fuSyntax:0085003tokens.2897074_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:356.4,urn:cite:fuSyntax:0085003sentences.2897074,2286,a-p---md-,urn:cite:fuSyntax:0085003tokens.2897074_4,πᾶσ
σμερδναῖσι,urn:cite:fuSyntax:0085003tokens.2897074_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:357.1,urn:cite:fuSyntax:0085003sentences.2897074,2291,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897074_7,σμερδνόσ
γοργωπὸν,urn:cite:fuSyntax:0085003tokens.2897075_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:358.5,urn:cite:fuSyntax:0085003sentences.2897075,2300,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897075_6,γοργωπόσ
αὐτῷ,urn:cite:fuSyntax:0085003tokens.2897076_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:360.3,urn:cite:fuSyntax:0085003sentences.2897076,2312,a-s---md-,urn:cite:fuSyntax:0085003tokens.2897076_2,αὐτόσ
ἄγρυπνον,urn:cite:fuSyntax:0085003tokens.2897076_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:360.5,urn:cite:fuSyntax:0085003sentences.2897076,2314,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897076_6,ἄγρυπνοσ
αὐτὸν,urn:cite:fuSyntax:0085003tokens.2897076_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:362.2,urn:cite:fuSyntax:0085003sentences.2897076,2323,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897076_15,αὐτόσ
ὑψηγόρων,urn:cite:fuSyntax:0085003tokens.2897076_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:362.5,urn:cite:fuSyntax:0085003sentences.2897076,2326,a-p---ng-,urn:cite:fuSyntax:0085003tokens.2897076_18,ὑψήγοροσ
αὐτὰς,urn:cite:fuSyntax:0085003tokens.2897077_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:363.6,urn:cite:fuSyntax:0085003sentences.2897077,2332,a-p---fa-,urn:cite:fuSyntax:0085003tokens.2897077_1,αὐτόσ
ἀχρεῖον,urn:cite:fuSyntax:0085003tokens.2897078_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:365.3,urn:cite:fuSyntax:0085003sentences.2897078,2340,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897078_4,ἀχρεῖοσ
παράορον,urn:cite:fuSyntax:0085003tokens.2897078_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:365.5,urn:cite:fuSyntax:0085003sentences.2897078,2342,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897078_4,παρήοροσ
στενωποῦ,urn:cite:fuSyntax:0085003tokens.2897078_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:366.2,urn:cite:fuSyntax:0085003sentences.2897078,2345,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897078_9,στενωπόσ
πλησίον,urn:cite:fuSyntax:0085003tokens.2897078_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:366.3,urn:cite:fuSyntax:0085003sentences.2897078,2346,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897078_7,πλησίοσ
θαλασσίου,urn:cite:fuSyntax:0085003tokens.2897078_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:366.4,urn:cite:fuSyntax:0085003sentences.2897078,2347,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2897078_8,θαλάσσιοσ
Αἰτναίαις,urn:cite:fuSyntax:0085003tokens.2897078_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:367.3,urn:cite:fuSyntax:0085003sentences.2897078,2350,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897078_12,Αἰτναῖοσ
ἀγρίαις,urn:cite:fuSyntax:0085003tokens.2897080_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:370.4,urn:cite:fuSyntax:0085003sentences.2897080,2367,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2897080_8,ἄγριοσ
καλλικάρπου,urn:cite:fuSyntax:0085003tokens.2897080_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:371.2,urn:cite:fuSyntax:0085003sentences.2897080,2370,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897080_11,καλλίκαρποσ
λευροὺς,urn:cite:fuSyntax:0085003tokens.2897080_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:371.4,urn:cite:fuSyntax:0085003sentences.2897080,2372,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2897080_13,λευρόσ
θερμοῖς,urn:cite:fuSyntax:0085003tokens.2897081_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:373.1,urn:cite:fuSyntax:0085003sentences.2897081,2379,a-p---nd-,urn:cite:fuSyntax:0085003tokens.2897081_7,θερμόσ
ἀπλάτου,urn:cite:fuSyntax:0085003tokens.2897081_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:373.2,urn:cite:fuSyntax:0085003sentences.2897081,2380,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897081_9,ἄπλατοσ
πυρπνόου,urn:cite:fuSyntax:0085003tokens.2897081_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:373.4,urn:cite:fuSyntax:0085003sentences.2897081,2382,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2897081_9,πύρπνοοσ
ἄπειρος,urn:cite:fuSyntax:0085003tokens.2897082_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:375.4,urn:cite:fuSyntax:0085003sentences.2897082,2393,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897082_2,ἄπειρος
τοῦτο,urn:cite:fuSyntax:0085003tokens.2897085_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:379.5,urn:cite:fuSyntax:0085003sentences.2897085,2424,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897085_6,οὗτοσ
τίνα,urn:cite:fuSyntax:0085003tokens.2897087_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:383.7,urn:cite:fuSyntax:0085003sentences.2897087,2454,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2897087_10,τίς
περισσὸν,urn:cite:fuSyntax:0085003tokens.2897089_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:385.2,urn:cite:fuSyntax:0085003sentences.2897089,2463,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2897089_1,περισσόσ
κουφόνουν,urn:cite:fuSyntax:0085003tokens.2897089_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:385.3,urn:cite:fuSyntax:0085003sentences.2897089,2464,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2897089_5,κουφόνουσ
κέρδιστον,urn:cite:fuSyntax:0085003tokens.2897090_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:387.1,urn:cite:fuSyntax:0085003sentences.2897090,2476,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897090_8,κερδίων1
ἐμὸν,urn:cite:fuSyntax:0085003tokens.2897091_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:388.1,urn:cite:fuSyntax:0085003sentences.2897091,2483,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2897091_4,ἐμόσ
σὸς,urn:cite:fuSyntax:0085003tokens.2897092_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:389.5,urn:cite:fuSyntax:0085003sentences.2897092,2493,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897092_6,σόσ
οὑμὸς,urn:cite:fuSyntax:0085003tokens.2897093_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:390.5,urn:cite:fuSyntax:0085003sentences.2897093,2502,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2897093_4,ἐμόσ
νέον,urn:cite:fuSyntax:0085003tokens.2897094_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:391.3,urn:cite:fuSyntax:0085003sentences.2897094,2509,a-s---na-,urn:cite:fuSyntax:0085003tokens.2897094_4,νέοσ
