SEQ	TOKENURN	POS	HEAD	LEMMA
734	urn:cite:fuSyntax:0085003tokens.2896950_2	g--------	urn:cite:fuSyntax:0085003tokens.2896950_3	δέ1
735	urn:cite:fuSyntax:0085003tokens.2896950_3	v1spie---	urn:cite:fuSyntax:0085003tokens.2896950_0	θηράω1
736	urn:cite:fuSyntax:0085003tokens.2896950_4	n-s---ng-	urn:cite:fuSyntax:0085003tokens.2896950_5	πῦρ1
737	urn:cite:fuSyntax:0085003tokens.2896950_5	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896950_3	πηγή1
738	urn:cite:fuSyntax:0085003tokens.2896950_6	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896950_5	κλοπαῖοσ
739	urn:cite:fuSyntax:0085003tokens.2896950_7	u--------	urn:cite:fuSyntax:0085003tokens.2896950_13	ξομμα1
740	urn:cite:fuSyntax:0085003tokens.2896950_8	p-s---fn-	urn:cite:fuSyntax:0085003tokens.2896950_13	ὅσ
741	urn:cite:fuSyntax:0085003tokens.2896950_9	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896950_14	διδάσκαλοσ
742	urn:cite:fuSyntax:0085003tokens.2896950_10	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896950_9	τέχνη1
743	urn:cite:fuSyntax:0085003tokens.2896950_11	a-s---fg-	urn:cite:fuSyntax:0085003tokens.2896950_10	πᾶσ
744	urn:cite:fuSyntax:0085003tokens.2896950_12	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896950_13	βροτόσ
745	urn:cite:fuSyntax:0085003tokens.2896950_13	v3sria---	urn:cite:fuSyntax:0085003tokens.2896950_5	φαίνω1
746	urn:cite:fuSyntax:0085003tokens.2896950_14	c--------	urn:cite:fuSyntax:0085003tokens.2896950_13	καί1
747	urn:cite:fuSyntax:0085003tokens.2896950_15	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2896950_16	μέγασ
748	urn:cite:fuSyntax:0085003tokens.2896950_16	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896950_14	πόροσ
749	urn:cite:fuSyntax:0085003tokens.2896950_17	u--------	urn:cite:fuSyntax:0085003tokens.2896950_0	περιοδ1
750	urn:cite:fuSyntax:0085003tokens.2896951_1	p-p---ng-	urn:cite:fuSyntax:0085003tokens.2896951_3	τοῖος
751	urn:cite:fuSyntax:0085003tokens.2896951_2	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2896951_4	ποινή1
752	urn:cite:fuSyntax:0085003tokens.2896951_3	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2896951_2	ἀμπλάκημα1
753	urn:cite:fuSyntax:0085003tokens.2896951_4	v1spia---	urn:cite:fuSyntax:0085003tokens.2896951_0	τίνω1
754	urn:cite:fuSyntax:0085003tokens.2896951_5	a-p---md-	urn:cite:fuSyntax:0085003tokens.2896951_6	ὑπαίθριοσ
755	urn:cite:fuSyntax:0085003tokens.2896951_6	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896951_7	δεσμόσ
756	urn:cite:fuSyntax:0085003tokens.2896951_7	t-srpemn-	urn:cite:fuSyntax:0085003tokens.2896951_4	πασσαλεύω1
757	urn:cite:fuSyntax:0085003tokens.2896951_8	u--------	urn:cite:fuSyntax:0085003tokens.2896951_0	περιοδ1
758	urn:cite:fuSyntax:0085003tokens.2896952_1	e--------	urn:cite:fuSyntax:0085003tokens.2896952_2	ἆ1
759	urn:cite:fuSyntax:0085003tokens.2896952_2	e--------	urn:cite:fuSyntax:0085003tokens.2896952_0	ἆ1
760	urn:cite:fuSyntax:0085003tokens.2896952_3	e--------	urn:cite:fuSyntax:0085003tokens.2896952_4	ἔα1
761	urn:cite:fuSyntax:0085003tokens.2896952_4	e--------	urn:cite:fuSyntax:0085003tokens.2896952_0	ἔα1
762	urn:cite:fuSyntax:0085003tokens.2896952_5	u--------	urn:cite:fuSyntax:0085003tokens.2896952_0	περιοδ1
763	urn:cite:fuSyntax:0085003tokens.2896953_1	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_2	τίς
764	urn:cite:fuSyntax:0085003tokens.2896953_2	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_3	ἠχώ1
765	urn:cite:fuSyntax:0085003tokens.2896953_3	u--------	urn:cite:fuSyntax:0085003tokens.2896953_6	ξομμα1
766	urn:cite:fuSyntax:0085003tokens.2896953_4	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_5	τίς
767	urn:cite:fuSyntax:0085003tokens.2896953_5	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_3	ὀσμή1
768	urn:cite:fuSyntax:0085003tokens.2896953_6	v3saia---	urn:cite:fuSyntax:0085003tokens.2896953_0	προσπέτομαι1
769	urn:cite:fuSyntax:0085003tokens.2896953_7	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896953_6	ἐγώ1
770	urn:cite:fuSyntax:0085003tokens.2896953_8	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_3	ἀφεγγήσ
771	urn:cite:fuSyntax:0085003tokens.2896953_9	u--------	urn:cite:fuSyntax:0085003tokens.2896953_15	ξομμα1
772	urn:cite:fuSyntax:0085003tokens.2896953_10	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_15	θεόσυτοσ
773	urn:cite:fuSyntax:0085003tokens.2896953_11	u--------	urn:cite:fuSyntax:0085003tokens.2896953_15	ξομμα1
774	urn:cite:fuSyntax:0085003tokens.2896953_12	c--------	urn:cite:fuSyntax:0085003tokens.2896953_15	ἤ1
775	urn:cite:fuSyntax:0085003tokens.2896953_13	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896953_15	βρότειοσ
776	urn:cite:fuSyntax:0085003tokens.2896953_14	u--------	urn:cite:fuSyntax:0085003tokens.2896953_15	ξομμα1
777	urn:cite:fuSyntax:0085003tokens.2896953_15	c--------	urn:cite:fuSyntax:0085003tokens.2896953_3	ἤ1
778	urn:cite:fuSyntax:0085003tokens.2896953_16	t-srpefn-	urn:cite:fuSyntax:0085003tokens.2896953_15	κεράννυμι1
779	urn:cite:fuSyntax:0085003tokens.2896953_17	u--------	urn:cite:fuSyntax:0085003tokens.2896953_0	πυνξ1
780	urn:cite:fuSyntax:0085003tokens.2896954_1	v3sai----	urn:cite:fuSyntax:0085003tokens.2896954_0	ἱκνέομαι1
781	urn:cite:fuSyntax:0085003tokens.2896954_2	a-s---ma-	urn:cite:fuSyntax:0085003tokens.2896954_4	τερμόνιοσ
782	urn:cite:fuSyntax:0085003tokens.2896954_3	r--------	urn:cite:fuSyntax:0085003tokens.2896954_1	ἐπί1
783	urn:cite:fuSyntax:0085003tokens.2896954_4	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896954_3	πάγοσ
784	urn:cite:fuSyntax:0085003tokens.2896954_5	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896954_7	πόνοσ
785	urn:cite:fuSyntax:0085003tokens.2896954_6	a-p---mg-	urn:cite:fuSyntax:0085003tokens.2896954_5	ἐμόσ
786	urn:cite:fuSyntax:0085003tokens.2896954_7	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896954_9	θεωρόσ
787	urn:cite:fuSyntax:0085003tokens.2896954_8	u--------	urn:cite:fuSyntax:0085003tokens.2896954_9	ξομμα1
788	urn:cite:fuSyntax:0085003tokens.2896954_9	c--------	urn:cite:fuSyntax:0085003tokens.2896954_1	ἤ1
789	urn:cite:fuSyntax:0085003tokens.2896954_10	p-s---na-	urn:cite:fuSyntax:0085003tokens.2896954_12	τίς
790	urn:cite:fuSyntax:0085003tokens.2896954_11	g--------	urn:cite:fuSyntax:0085003tokens.2896954_10	δή1
791	urn:cite:fuSyntax:0085003tokens.2896954_12	t-sppamn-	urn:cite:fuSyntax:0085003tokens.2896954_9	ἐθέλω1
792	urn:cite:fuSyntax:0085003tokens.2896954_13	u--------	urn:cite:fuSyntax:0085003tokens.2896954_0	πυνξ1
793	urn:cite:fuSyntax:0085003tokens.2896955_1	v2ppia---	urn:cite:fuSyntax:0085003tokens.2896955_0	ὁράω1
794	urn:cite:fuSyntax:0085003tokens.2896955_2	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_3	δεσμώτησ
795	urn:cite:fuSyntax:0085003tokens.2896955_3	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_1	ἐγώ1
796	urn:cite:fuSyntax:0085003tokens.2896955_4	a-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_5	δύσποτμοσ
797	urn:cite:fuSyntax:0085003tokens.2896955_5	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_3	θεόσ
798	urn:cite:fuSyntax:0085003tokens.2896955_6	l-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_8	ὁ1
799	urn:cite:fuSyntax:0085003tokens.2896955_7	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896955_8	Ζεύσ
800	urn:cite:fuSyntax:0085003tokens.2896955_8	a-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_3	ἐχθρόσ
801	urn:cite:fuSyntax:0085003tokens.2896955_9	u--------	urn:cite:fuSyntax:0085003tokens.2896955_15	ξομμα1
802	urn:cite:fuSyntax:0085003tokens.2896955_10	l-s---ma-	urn:cite:fuSyntax:0085003tokens.2896955_15	ὁ1
803	urn:cite:fuSyntax:0085003tokens.2896955_11	a-p---md-	urn:cite:fuSyntax:0085003tokens.2896955_12	πᾶσ
804	urn:cite:fuSyntax:0085003tokens.2896955_12	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896955_15	θεόσ
805	urn:cite:fuSyntax:0085003tokens.2896955_13	c--------	urn:cite:fuSyntax:0085003tokens.2896955_15	διό1
806	urn:cite:fuSyntax:0085003tokens.2896955_14	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896955_13	ἀπέχθεια1
807	urn:cite:fuSyntax:0085003tokens.2896955_15	t-sapama-	urn:cite:fuSyntax:0085003tokens.2896955_3	ἔρχομαι1
808	urn:cite:fuSyntax:0085003tokens.2896955_16	a-p---mn-	urn:cite:fuSyntax:0085003tokens.2896955_20	ὁπόσοσ
809	urn:cite:fuSyntax:0085003tokens.2896955_17	l-s---fa-	urn:cite:fuSyntax:0085003tokens.2896955_19	ὁ1
810	urn:cite:fuSyntax:0085003tokens.2896955_18	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896955_19	Ζεύσ
811	urn:cite:fuSyntax:0085003tokens.2896955_19	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896955_20	αὐλή1
812	urn:cite:fuSyntax:0085003tokens.2896955_20	v3ppia---	urn:cite:fuSyntax:0085003tokens.2896955_12	εἰσοιχνέω1
813	urn:cite:fuSyntax:0085003tokens.2896955_21	u--------	urn:cite:fuSyntax:0085003tokens.2896955_22	ξομμα1
814	urn:cite:fuSyntax:0085003tokens.2896955_22	r--------	urn:cite:fuSyntax:0085003tokens.2896955_15	διά1
815	urn:cite:fuSyntax:0085003tokens.2896955_23	l-s---fa-	urn:cite:fuSyntax:0085003tokens.2896955_25	ὁ1
816	urn:cite:fuSyntax:0085003tokens.2896955_24	d--------	urn:cite:fuSyntax:0085003tokens.2896955_25	λίαν1
817	urn:cite:fuSyntax:0085003tokens.2896955_25	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896955_22	φιλότησ
818	urn:cite:fuSyntax:0085003tokens.2896955_26	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896955_25	βροτόσ
819	urn:cite:fuSyntax:0085003tokens.2896955_27	u--------	urn:cite:fuSyntax:0085003tokens.2896955_0	περιοδ1
820	urn:cite:fuSyntax:0085003tokens.2896956_1	e--------	urn:cite:fuSyntax:0085003tokens.2896956_2	φεῦ1
821	urn:cite:fuSyntax:0085003tokens.2896956_2	e--------	urn:cite:fuSyntax:0085003tokens.2896956_8	φεῦ1
822	urn:cite:fuSyntax:0085003tokens.2896956_3	u--------	urn:cite:fuSyntax:0085003tokens.2896956_2	ξομμα1
823	urn:cite:fuSyntax:0085003tokens.2896956_4	a-s---na-	urn:cite:fuSyntax:0085003tokens.2896956_7	τίς
824	urn:cite:fuSyntax:0085003tokens.2896956_5	g--------	urn:cite:fuSyntax:0085003tokens.2896956_4	ποτέ1
825	urn:cite:fuSyntax:0085003tokens.2896956_6	d--------	urn:cite:fuSyntax:0085003tokens.2896956_8	αὖ1
826	urn:cite:fuSyntax:0085003tokens.2896956_7	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896956_8	κινάθισμα1
827	urn:cite:fuSyntax:0085003tokens.2896956_8	v1spia---	urn:cite:fuSyntax:0085003tokens.2896956_0	κλύω1
828	urn:cite:fuSyntax:0085003tokens.2896956_9	d--------	urn:cite:fuSyntax:0085003tokens.2896956_8	πέλασ
829	urn:cite:fuSyntax:0085003tokens.2896956_10	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896956_7	οἰωνόσ
830	urn:cite:fuSyntax:0085003tokens.2896956_11	u--------	urn:cite:fuSyntax:0085003tokens.2896956_0	πυνξ1
831	urn:cite:fuSyntax:0085003tokens.2896957_1	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896957_6	αἰθήρ1
832	urn:cite:fuSyntax:0085003tokens.2896957_2	g--------	urn:cite:fuSyntax:0085003tokens.2896957_6	δέ1
833	urn:cite:fuSyntax:0085003tokens.2896957_3	a-p---fd-	urn:cite:fuSyntax:0085003tokens.2896957_5	ἐλαφρόσ
834	urn:cite:fuSyntax:0085003tokens.2896957_4	n-p---fg-	urn:cite:fuSyntax:0085003tokens.2896957_5	πτέρυξ1
835	urn:cite:fuSyntax:0085003tokens.2896957_5	n-p---fd-	urn:cite:fuSyntax:0085003tokens.2896957_6	ῥιπή1
836	urn:cite:fuSyntax:0085003tokens.2896957_6	v3spia---	urn:cite:fuSyntax:0085003tokens.2896957_0	ὑποσυρίζω1
837	urn:cite:fuSyntax:0085003tokens.2896957_7	u--------	urn:cite:fuSyntax:0085003tokens.2896957_0	περιοδ1
838	urn:cite:fuSyntax:0085003tokens.2896958_1	a-s---na-	urn:cite:fuSyntax:0085003tokens.2896958_5	πᾶσ
839	urn:cite:fuSyntax:0085003tokens.2896958_2	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896958_0	ἐγώ1
840	urn:cite:fuSyntax:0085003tokens.2896958_3	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2896958_0	φοβερόσ
841	urn:cite:fuSyntax:0085003tokens.2896958_4	l-s---nn-	urn:cite:fuSyntax:0085003tokens.2896958_5	ὁ1
842	urn:cite:fuSyntax:0085003tokens.2896958_5	t-sppann-	urn:cite:fuSyntax:0085003tokens.2896958_0	προσέρπω1
843	urn:cite:fuSyntax:0085003tokens.2896958_6	u--------	urn:cite:fuSyntax:0085003tokens.2896958_0	περιοδ1
844	urn:cite:fuSyntax:0085003tokens.2896959_1	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896959_2	μηδείσ
845	urn:cite:fuSyntax:0085003tokens.2896959_2	v2sasp---	urn:cite:fuSyntax:0085003tokens.2896959_0	φοβέω1
846	urn:cite:fuSyntax:0085003tokens.2896959_3	u--------	urn:cite:fuSyntax:0085003tokens.2896959_0	πυνξ1
847	urn:cite:fuSyntax:0085003tokens.2896960_1	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896960_4	φίλιοσ
848	urn:cite:fuSyntax:0085003tokens.2896960_2	g--------	urn:cite:fuSyntax:0085003tokens.2896960_8	γάρ1
849	urn:cite:fuSyntax:0085003tokens.2896960_3	p-s---fn-	urn:cite:fuSyntax:0085003tokens.2896960_4	ὅδε1
850	urn:cite:fuSyntax:0085003tokens.2896960_4	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896960_8	τάξισ
851	urn:cite:fuSyntax:0085003tokens.2896960_5	n-p---fg-	urn:cite:fuSyntax:0085003tokens.2896960_7	πτέρυξ1
852	urn:cite:fuSyntax:0085003tokens.2896960_6	a-p---fd-	urn:cite:fuSyntax:0085003tokens.2896960_7	θοόσ
853	urn:cite:fuSyntax:0085003tokens.2896960_7	n-p---fd-	urn:cite:fuSyntax:0085003tokens.2896960_8	ἅμιλλα1
854	urn:cite:fuSyntax:0085003tokens.2896960_8	v3saia---	urn:cite:fuSyntax:0085003tokens.2896960_0	προσβαίνω1
855	urn:cite:fuSyntax:0085003tokens.2896960_9	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896960_10	ὅδε1
856	urn:cite:fuSyntax:0085003tokens.2896960_10	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896960_8	πάγοσ
857	urn:cite:fuSyntax:0085003tokens.2896960_11	u--------	urn:cite:fuSyntax:0085003tokens.2896960_14	ξομμα1
858	urn:cite:fuSyntax:0085003tokens.2896960_12	a-p---fa-	urn:cite:fuSyntax:0085003tokens.2896960_15	πατρῷοσ
859	urn:cite:fuSyntax:0085003tokens.2896960_13	d--------	urn:cite:fuSyntax:0085003tokens.2896960_14	μόγισ
860	urn:cite:fuSyntax:0085003tokens.2896960_14	t-sapafn-	urn:cite:fuSyntax:0085003tokens.2896960_8	παρεῖπον1
861	urn:cite:fuSyntax:0085003tokens.2896960_15	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2896960_14	φρήν1
862	urn:cite:fuSyntax:0085003tokens.2896960_16	u--------	urn:cite:fuSyntax:0085003tokens.2896960_0	περιοδ1
863	urn:cite:fuSyntax:0085003tokens.2896961_1	a-p---fn-	urn:cite:fuSyntax:0085003tokens.2896961_5	κραιπνοφόροσ
864	urn:cite:fuSyntax:0085003tokens.2896961_2	g--------	urn:cite:fuSyntax:0085003tokens.2896961_0	δέ1
865	urn:cite:fuSyntax:0085003tokens.2896961_3	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896961_4	ἐγώ1
866	urn:cite:fuSyntax:0085003tokens.2896961_4	v3paia---	urn:cite:fuSyntax:0085003tokens.2896961_2	πέμπω1
867	urn:cite:fuSyntax:0085003tokens.2896961_5	n-p---fn-	urn:cite:fuSyntax:0085003tokens.2896961_4	αὔρα1
868	urn:cite:fuSyntax:0085003tokens.2896961_6	u--------	urn:cite:fuSyntax:0085003tokens.2896961_0	πυνξ1
869	urn:cite:fuSyntax:0085003tokens.2896962_1	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896962_3	κτύποσ
870	urn:cite:fuSyntax:0085003tokens.2896962_2	g--------	urn:cite:fuSyntax:0085003tokens.2896962_5	γάρ1
871	urn:cite:fuSyntax:0085003tokens.2896962_3	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896962_5	ἠχώ1
872	urn:cite:fuSyntax:0085003tokens.2896962_4	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896962_1	χάλυψ
873	urn:cite:fuSyntax:0085003tokens.2896962_5	v3saia---	urn:cite:fuSyntax:0085003tokens.2896962_10	διαίσσω1
874	urn:cite:fuSyntax:0085003tokens.2896962_6	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2896962_7	ἄντρον1
875	urn:cite:fuSyntax:0085003tokens.2896962_7	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896962_5	μυχόσ
876	urn:cite:fuSyntax:0085003tokens.2896962_8	u--------	urn:cite:fuSyntax:0085003tokens.2896962_10	ξομμα1
877	urn:cite:fuSyntax:0085003tokens.2896962_9	r--------	urn:cite:fuSyntax:0085003tokens.2896962_11	ἐκ1
878	urn:cite:fuSyntax:0085003tokens.2896962_10	g--------	urn:cite:fuSyntax:0085003tokens.2896962_0	δέ1
879	urn:cite:fuSyntax:0085003tokens.2896962_11	v3saia---	urn:cite:fuSyntax:0085003tokens.2896962_10	πλήσσω1
880	urn:cite:fuSyntax:0085003tokens.2896962_12	p-s---fg-	urn:cite:fuSyntax:0085003tokens.2896962_15	ἐγώ1
881	urn:cite:fuSyntax:0085003tokens.2896962_13	l-s---fa-	urn:cite:fuSyntax:0085003tokens.2896962_15	ὁ
882	urn:cite:fuSyntax:0085003tokens.2896962_14	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896962_15	θεμερῶπισ
883	urn:cite:fuSyntax:0085003tokens.2896962_15	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896962_11	αἰδώσ
884	urn:cite:fuSyntax:0085003tokens.2896962_16	u--------	urn:cite:fuSyntax:0085003tokens.2896962_0	πυνξ1
885	urn:cite:fuSyntax:0085003tokens.2896963_1	v1saip---	urn:cite:fuSyntax:0085003tokens.2896963_2	σεύω1
886	urn:cite:fuSyntax:0085003tokens.2896963_2	g--------	urn:cite:fuSyntax:0085003tokens.2896963_0	δέ1
887	urn:cite:fuSyntax:0085003tokens.2896963_3	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896963_1	ἀπέδιλοσ
888	urn:cite:fuSyntax:0085003tokens.2896963_4	n-s---md-	urn:cite:fuSyntax:0085003tokens.2896963_1	ὄχοσ
889	urn:cite:fuSyntax:0085003tokens.2896963_5	a-s---md-	urn:cite:fuSyntax:0085003tokens.2896963_4	πτερωτόσ
890	urn:cite:fuSyntax:0085003tokens.2896963_6	u--------	urn:cite:fuSyntax:0085003tokens.2896963_0	περιοδ1
891	urn:cite:fuSyntax:0085003tokens.2896964_1	e--------	urn:cite:fuSyntax:0085003tokens.2896964_2	αἰαῖ1
892	urn:cite:fuSyntax:0085003tokens.2896964_2	e--------	urn:cite:fuSyntax:0085003tokens.2896964_23	αἰαῖ1
893	urn:cite:fuSyntax:0085003tokens.2896964_3	u--------	urn:cite:fuSyntax:0085003tokens.2896964_2	ξομμα1
894	urn:cite:fuSyntax:0085003tokens.2896964_4	l-s---fg-	urn:cite:fuSyntax:0085003tokens.2896964_6	ὁ1
895	urn:cite:fuSyntax:0085003tokens.2896964_5	a-s---fg-	urn:cite:fuSyntax:0085003tokens.2896964_6	πολύτεκνοσ
896	urn:cite:fuSyntax:0085003tokens.2896964_6	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896964_7	Τηθύσ
897	urn:cite:fuSyntax:0085003tokens.2896964_7	a-p---nv-	urn:cite:fuSyntax:0085003tokens.2896964_12	ἔκγονοσ
898	urn:cite:fuSyntax:0085003tokens.2896964_8	u--------	urn:cite:fuSyntax:0085003tokens.2896964_7	ξομμα1
899	urn:cite:fuSyntax:0085003tokens.2896964_9	l-s---mg-	urn:cite:fuSyntax:0085003tokens.2896964_20	ὁ1
900	urn:cite:fuSyntax:0085003tokens.2896964_10	r--------	urn:cite:fuSyntax:0085003tokens.2896964_13	περί1
901	urn:cite:fuSyntax:0085003tokens.2896964_11	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896964_14	πᾶσ
902	urn:cite:fuSyntax:0085003tokens.2896964_12	g--------	urn:cite:fuSyntax:0085003tokens.2896964_23	τε1
903	urn:cite:fuSyntax:0085003tokens.2896964_13	t-sppemg-	urn:cite:fuSyntax:0085003tokens.2896964_20	ἑλίσσω1
904	urn:cite:fuSyntax:0085003tokens.2896964_14	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896964_10	χθών1
905	urn:cite:fuSyntax:0085003tokens.2896964_15	a-s---nd-	urn:cite:fuSyntax:0085003tokens.2896964_16	ἀκοίμητοσ
906	urn:cite:fuSyntax:0085003tokens.2896964_16	n-s---nd-	urn:cite:fuSyntax:0085003tokens.2896964_13	ῥεῦμα1
907	urn:cite:fuSyntax:0085003tokens.2896964_17	n-p---fv-	urn:cite:fuSyntax:0085003tokens.2896964_12	παῖς
908	urn:cite:fuSyntax:0085003tokens.2896964_18	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896964_20	πατήρ1
909	urn:cite:fuSyntax:0085003tokens.2896964_19	u--------	urn:cite:fuSyntax:0085003tokens.2896964_0	ξομμα1
910	urn:cite:fuSyntax:0085003tokens.2896964_20	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896964_17	Ὠκεανόσ
911	urn:cite:fuSyntax:0085003tokens.2896964_21	u--------	urn:cite:fuSyntax:0085003tokens.2896964_12	ξομμα1
912	urn:cite:fuSyntax:0085003tokens.2896964_22	v2pamp---	urn:cite:fuSyntax:0085003tokens.2896964_23	δέρκομαι
913	urn:cite:fuSyntax:0085003tokens.2896964_23	u--------	urn:cite:fuSyntax:0085003tokens.2896964_0	ξομμα1
914	urn:cite:fuSyntax:0085003tokens.2896964_24	v2pamm---	urn:cite:fuSyntax:0085003tokens.2896964_23	εἰσο?αω
915	urn:cite:fuSyntax:0085003tokens.2896964_25	a-s---md-	urn:cite:fuSyntax:0085003tokens.2896964_26	οἷοσ
916	urn:cite:fuSyntax:0085003tokens.2896964_26	n-s---md-	urn:cite:fuSyntax:0085003tokens.2896964_28	δεσμόσ
917	urn:cite:fuSyntax:0085003tokens.2896964_27	u--------	urn:cite:fuSyntax:0085003tokens.2896964_0	ξομμα1
918	urn:cite:fuSyntax:0085003tokens.2896964_28	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2896964_36	προσπορπατόσ
919	urn:cite:fuSyntax:0085003tokens.2896964_29	p-s---fg-	urn:cite:fuSyntax:0085003tokens.2896964_30	ὅδε1
920	urn:cite:fuSyntax:0085003tokens.2896964_30	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896964_31	φάραγξ1
921	urn:cite:fuSyntax:0085003tokens.2896964_31	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896964_32	σκόπελοσ
922	urn:cite:fuSyntax:0085003tokens.2896964_32	r--------	urn:cite:fuSyntax:0085003tokens.2896964_36	ἐν1
923	urn:cite:fuSyntax:0085003tokens.2896964_33	n-p---nd-	urn:cite:fuSyntax:0085003tokens.2896964_31	ἄκρον1
924	urn:cite:fuSyntax:0085003tokens.2896964_34	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896964_36	φρουρά1
925	urn:cite:fuSyntax:0085003tokens.2896964_35	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896964_34	ἄζηλοσ
926	urn:cite:fuSyntax:0085003tokens.2896964_36	v1sfia---	urn:cite:fuSyntax:0085003tokens.2896964_23	ὀχέω1
927	urn:cite:fuSyntax:0085003tokens.2896964_37	u--------	urn:cite:fuSyntax:0085003tokens.2896964_0	περιοδ1
928	urn:cite:fuSyntax:0085003tokens.2896965_1	v1spia---	urn:cite:fuSyntax:0085003tokens.2896965_0	λεύσσω1
929	urn:cite:fuSyntax:0085003tokens.2896965_2	u--------	urn:cite:fuSyntax:0085003tokens.2896965_3	ξομμα1
930	urn:cite:fuSyntax:0085003tokens.2896965_3	n-s---mv-	urn:cite:fuSyntax:0085003tokens.2896965_1	Προμηθεύσ
931	urn:cite:fuSyntax:0085003tokens.2896965_4	u--------	urn:cite:fuSyntax:0085003tokens.2896965_0	πυνξ1
932	urn:cite:fuSyntax:0085003tokens.2896966_1	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896966_6	φοβερόσ
933	urn:cite:fuSyntax:0085003tokens.2896966_2	g--------	urn:cite:fuSyntax:0085003tokens.2896966_6	δέ1
934	urn:cite:fuSyntax:0085003tokens.2896966_3	a-p---nd-	urn:cite:fuSyntax:0085003tokens.2896966_4	ἐμόσ
935	urn:cite:fuSyntax:0085003tokens.2896966_4	n-p---nd-	urn:cite:fuSyntax:0085003tokens.2896966_1	ὄσσε1
936	urn:cite:fuSyntax:0085003tokens.2896966_5	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896966_6	ὁμίχλη1
937	urn:cite:fuSyntax:0085003tokens.2896966_6	v3saia---	urn:cite:fuSyntax:0085003tokens.2896966_0	προσαίσσω1
938	urn:cite:fuSyntax:0085003tokens.2896966_7	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896966_5	πλήρησ
